Name,Received,Type
JETBLUE AIRWAYS CORPORATION CREW MEMBER GOOD GOVERNMENT FUND (JETBLUE PAC),548663.38,Highest
KENNEDY FOR SENATE,119899,Highest
BEN WALSH FOR SYRACUSE,577421.51,Highest
FRIENDS OF ELIZABETH CROWLEY,360383.17,Highest
SUFFOLK COUNTY REPUBLICAN COMMITTEE CAMPAIGN ACCT (SCRC),347293.67,Highest
LANDER FOR NYC,200085,Highest
FRIENDS OF ANDREA STEWART-COUSINS,116704,Highest
COREY 2021,347333,Highest
STATE STREET ASSOCIATES PAC,367950,Highest
MCMAHON FOR ONONDAGA COUNTY,514725.7,Highest
REPUBLICAN ASSEMBLY CAMPAIGN COMMITTEE,470539.75,Highest
ALVIN BRAGG FOR DA (DISTRICT ATTORNEY),402123.77,Highest
FRIENDS OF JAMES SKOUFIS,136450,Highest
MIMI ROCAH FOR DA,96520,Highest
GAUGHRAN 2020,127225,Highest
FRIENDS OF CHERYL DINOLFO,428814,Highest
NEW YORKERS FOR A BRIGHTER FUTURE,383609.27,Highest
FRIENDS OF BO DIETL,489443.24,Highest
NEW YORK REPUBLICAN COUNTY COMMITTEE,491548.65,Highest
NEW YORK ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE (NYAPAC),142025,Highest
MARK LEVINE 2017,278955,Highest
COMMITTEE TO ELECT ALESSANDRA BIAGGI,517195.5,Highest
PPNYC VOTES PAC (PLANNED PARENTHOOD OF NEW YORK CITY),433206,Highest
NEW YORKERS FOR DIAZ,322565.44,Highest
HOYLMAN FOR SENATE,273055.73,Highest
FRIENDS OF KAREN S. SMYTHE,383464.63,Highest
FRIENDS OF DON CLAVIN,549301.59,Highest
ANNA KAPLAN FOR NY STATE SENATE,482817.56,Highest
TOWN OF BABYLON DEMOCRATIC COMMITTEE,353917.5,Highest
PETE HARCKHAM FOR SENATE,407358.02,Highest
CABAN FOR QUEENS,221231.2,Highest
ADAM BELLO FOR COUNTY EXECUTIVE,456611.92,Highest
GREENFIELD NYC,464833.34,Highest
JACOBS FOR STATE SENATE,317670,Highest
TOWN OF HEMPSTEAD REPUBLICAN COMMITTEE,410186.33,Highest
MAYOR MIKE SPANO COMMITTEE,257323.26,Highest
FRIENDS OF LESLIE,106519.84,Highest
CITIZENS FOR D'ESPOSITO,341402.76,Highest
MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK POLITICAL ACTION COMMITTEE,159736,Highest
MOLINARO FOR DUTCHESS,39758,Highest
RICHARDS FOR NEW YORK,372665,Highest
DOCTORS COUNCIL SEIU COPE,211147,Highest
